0 [0.95, 0.78] [0.97, 1.02] [0.96, 1.03]
1 [1.88, 0.53] [1.94, 1.07] [1.94, 1.12]
2 [2.79, 0.76] [2.92, 1.11] [2.9, 1.2]
3 [3.74, 0.94] [3.91, 1.14] [3.88, 1.27]
4 [4.7, 1.09] [4.9, 1.26] [4.86, 1.37]
5 [5.63, 1.34] [5.87, 1.46] [5.82, 1.61]
6 [6.34, 1.94] [6.73, 1.7] [6.31, 2.4]
7 [6.55, 2.82] [7.23, 2.29] [6.41, 3.13]
8 [6.82, 3.68] [7.53, 3.04] [6.38, 3.58]
9 [6.96, 4.63] [7.26, 3.83] [6.22, 4.37]
10 [7.03, 5.62] [6.94, 4.77] [6.09, 5.35]
11 [7.07, 6.62] [6.72, 5.74] [6.02, 6.34]
12 [7.16, 7.61] [6.52, 6.72] [6.12, 7.32]
13 [7.08, 8.5] [6.51, 7.71] [6.52, 8.16]
14 [6.97, 8.88] [6.86, 8.6] [6.94, 8.8]
15 [7.0, 8.99] [7.0, 9.0] [7.01, 9.0]
