0 [0.73, 0.68] [0.96, 0.29] [0.61, 0.79]
1 [1.73, 0.68] [1.94, 0.49] [1.2, 1.6]
2 [2.73, 0.67] [2.88, 0.82] [1.7, 2.47]
3 [2.92, 0.67] [3.42, 1.66] [2.04, 3.41]
4 [3.39, 1.55] [3.67, 2.63] [2.35, 4.36]
5 [4.38, 1.71] [4.12, 3.52] [2.68, 5.3]
6 [5.27, 2.17] [4.51, 4.35] [3.03, 6.24]
7 [6.09, 2.74] [4.58, 4.43] [3.69, 6.99]
8 [6.82, 3.42] [4.6, 4.46] [4.66, 7.14]
9 [7.45, 4.18] [4.63, 4.5] [5.51, 7.29]
10 [8.02, 4.99] [4.76, 4.61] [5.96, 7.41]
11 [8.65, 5.65] [4.86, 4.77] [6.41, 7.59]
12 [8.86, 5.86] [4.94, 4.9] [6.82, 7.88]
13 [9.01, 6.01] [5.01, 5.01] [7.01, 8.01]
