0 [0.0, 0.0] [1.0, 0.0] [1.0, 0.0]
1 [0.0, 0.0] [2.0, 0.0] [2.0, 0.0]
2 [0.0, 0.0] [3.0, 0.0] [3.0, 0.0]
3 [0.0, 0.0] [3.0, 0.0] [3.0, 1.0]
4 [0.0, 0.0] [3.0, 0.0] [3.0, 2.0]
5 [0.0, 0.0] [3.0, 0.0] [3.0, 3.0]
6 [0.0, 0.0] [3.0, 0.0] [3.0, 4.0]
7 [0.0, 0.0] [3.0, 0.0] [3.0, 5.0]
8 [0.0, 0.0] [3.0, 0.0] [3.0, 5.0]
9 [0.0, 0.0] [3.0, 0.0] [3.0, 6.0]
10 [0.0, 0.0] [3.0, 0.0] [3.0, 7.0]
11 [0.0, 0.0] [3.0, 0.0] [3.0, 8.0]
12 [0.0, 1.0] [4.0, 0.0] [4.0, 8.0]
13 [0.0, 2.0] [4.0, 0.0] [3.0, 8.0]
14 [0.0, 3.0] [4.0, 0.0] [2.0, 8.0]
15 [0.0, 4.0] [4.0, 1.0] [2.0, 9.0]
16 [0.0, 5.0] [4.0, 2.0] [2.0, 9.0]
17 [0.0, 5.0] [4.0, 3.0] [2.0, 8.0]
18 [0.0, 6.0] [4.0, 3.0] [1.0, 8.0]
19 [1.0, 6.0] [4.0, 3.0] [2.0, 8.0]
20 [2.0, 6.0] [4.0, 2.0] [3.0, 8.0]
21 [2.0, 5.0] [4.0, 1.0] [3.0, 8.0]
22 [2.0, 6.0] [4.0, 1.0] [2.0, 8.0]
23 [1.0, 6.0] [4.0, 2.0] [2.0, 7.0]
24 [2.0, 6.0] [4.0, 1.0] [3.0, 7.0]
25 [2.0, 5.0] [4.0, 1.0] [3.0, 6.0]
26 [2.0, 4.0] [4.0, 1.0] [3.0, 5.0]
27 [3.0, 4.0] [4.0, 0.0] [2.0, 5.0]
28 [4.0, 4.0] [4.0, 0.0] [3.0, 5.0]
29 [5.0, 4.0] [4.0, 0.0] [4.0, 5.0]
30 [6.0, 4.0] [4.0, 1.0] [5.0, 5.0]
31 [7.0, 4.0] [4.0, 2.0] [6.0, 5.0]
32 [8.0, 4.0] [4.0, 2.0] [7.0, 5.0]
33 [9.0, 4.0] [4.0, 2.0] [8.0, 5.0]
34 [9.0, 4.0] [4.0, 2.0] [9.0, 5.0]
35 [9.0, 4.0] [4.0, 2.0] [9.0, 5.0]
36 [9.0, 4.0] [4.0, 2.0] [9.0, 5.0]
37 [9.0, 5.0] [4.0, 1.0] [8.0, 5.0]
38 [9.0, 5.0] [4.0, 2.0] [8.0, 6.0]
39 [9.0, 5.0] [4.0, 3.0] [8.0, 7.0]
40 [9.0, 5.0] [4.0, 4.0] [8.0, 8.0]
