0 [0.0, 1.0] [0.0, 0.0] [1.0, 0.0]
1 [1.0, 1.0] [0.0, 0.0] [1.0, 1.0]
2 [1.0, 2.0] [1.0, 0.0] [1.0, 2.0]
3 [1.0, 3.0] [2.0, 0.0] [1.0, 3.0]
4 [2.0, 3.0] [2.0, 0.0] [1.0, 4.0]
5 [2.0, 2.0] [2.0, 1.0] [1.0, 5.0]
6 [3.0, 2.0] [2.0, 0.0] [1.0, 6.0]
7 [4.0, 2.0] [2.0, 0.0] [2.0, 6.0]
8 [4.0, 3.0] [2.0, 1.0] [2.0, 7.0]
9 [5.0, 3.0] [2.0, 0.0] [3.0, 7.0]
10 [6.0, 3.0] [2.0, 0.0] [4.0, 7.0]
11 [7.0, 3.0] [2.0, 0.0] [5.0, 7.0]
12 [8.0, 3.0] [2.0, 0.0] [6.0, 7.0]
13 [8.0, 4.0] [2.0, 1.0] [6.0, 8.0]
14 [9.0, 4.0] [2.0, 0.0] [7.0, 8.0]
15 [9.0, 4.0] [2.0, 1.0] [7.0, 8.0]
16 [9.0, 4.0] [2.0, 2.0] [7.0, 8.0]
17 [9.0, 4.0] [2.0, 3.0] [7.0, 8.0]
18 [9.0, 4.0] [2.0, 4.0] [7.0, 8.0]
