0 [0.28, 1.17] [0.99, 1.0] [0.79, 1.02]
1 [0.85, 1.37] [1.99, 1.0] [1.69, 1.06]
2 [1.19, 1.5] [2.99, 1.01] [2.16, 1.27]
3 [1.56, 1.58] [3.99, 1.02] [2.45, 1.45]
4 [2.03, 1.65] [4.99, 1.03] [2.7, 1.63]
5 [2.54, 1.72] [5.98, 1.04] [2.87, 1.86]
6 [3.15, 1.83] [6.94, 1.08] [2.98, 2.19]
7 [3.74, 2.62] [7.04, 1.53] [3.29, 3.03]
8 [4.27, 3.46] [6.94, 2.34] [3.71, 3.93]
9 [4.86, 4.26] [6.82, 3.2] [4.14, 4.82]
10 [5.37, 5.11] [6.75, 4.09] [4.69, 5.63]
11 [5.85, 5.95] [6.72, 4.91] [5.3, 6.37]
12 [6.29, 6.74] [6.75, 5.67] [5.89, 7.08]
13 [6.56, 7.55] [6.82, 6.57] [6.34, 7.78]
14 [6.76, 8.22] [6.9, 7.51] [6.64, 8.38]
15 [6.89, 8.6] [6.93, 8.42] [6.82, 8.7]
16 [6.96, 8.83] [6.97, 8.85] [6.92, 8.88]
17 [7.0, 8.99] [7.01, 9.0] [6.99, 8.99]
