0 [0.97, 1.0] [0.78, 1.02] [0.94, 1.0]
1 [1.95, 1.02] [0.9, 1.08] [1.92, 1.03]
2 [2.92, 1.06] [1.29, 1.12] [2.87, 1.09]
3 [3.91, 1.07] [2.11, 1.15] [3.79, 1.12]
4 [4.9, 1.1] [2.82, 1.28] [4.68, 1.19]
5 [5.88, 1.18] [3.22, 1.58] [5.49, 1.41]
6 [6.79, 1.39] [3.58, 2.02] [6.15, 1.89]
7 [7.16, 1.88] [4.05, 2.82] [6.36, 2.76]
8 [7.51, 2.6] [4.77, 3.5] [6.72, 3.65]
9 [7.81, 3.47] [5.39, 4.28] [7.09, 4.55]
10 [7.94, 4.28] [6.01, 5.05] [7.35, 5.4]
11 [7.91, 5.16] [6.46, 5.92] [7.46, 6.2]
12 [7.75, 6.12] [6.64, 6.86] [7.36, 7.02]
13 [7.5, 7.07] [6.7, 7.73] [7.06, 7.79]
14 [7.14, 7.98] [6.83, 8.26] [6.86, 8.41]
15 [6.91, 8.68] [6.87, 8.57] [6.83, 8.66]
16 [6.89, 8.73] [6.89, 8.72] [6.84, 8.79]
17 [6.87, 8.79] [6.9, 8.84] [6.85, 8.89]
18 [6.85, 8.86] [6.91, 8.95] [6.86, 8.97]
