0 [0.87, 0.0] [0.0, 0.12] [0.12, 0.0]
1 [1.8, 0.0] [0.0, 0.38] [0.12, 0.0]
2 [2.75, 0.0] [0.0, 0.58] [0.12, 0.0]
3 [3.7, 0.0] [0.04, 0.77] [0.12, 0.0]
4 [4.64, 0.0] [0.1, 0.97] [0.12, 0.0]
5 [5.57, 0.0] [0.18, 1.18] [0.12, 0.0]
6 [6.48, 0.0] [0.27, 1.41] [0.12, 0.0]
7 [7.36, 0.0] [0.37, 1.66] [0.12, 0.0]
8 [8.2, 0.0] [0.49, 1.93] [0.12, 0.0]
9 [8.99, 0.0] [0.61, 2.22] [0.12, 0.0]
10 [9.72, 0.0] [0.73, 2.53] [0.12, 0.0]
11 [9.72, 0.0] [0.84, 2.85] [0.12, 0.0]
12 [9.72, 0.0] [0.89, 3.13] [0.12, 0.0]
13 [9.72, 0.0] [0.9, 3.36] [0.05, 0.0]
14 [9.72, 0.0] [0.87, 3.54] [0.18, 0.0]
15 [9.72, 0.0] [0.81, 3.7] [0.45, 0.0]
16 [9.72, 0.0] [0.7, 3.82] [0.79, 0.0]
17 [9.72, 0.0] [0.55, 3.89] [1.16, 0.0]
18 [9.72, 0.0] [0.37, 3.92] [1.49, 0.0]
19 [9.72, 0.0] [0.17, 3.92] [1.72, 0.0]
20 [9.72, 0.0] [0.17, 3.89] [1.84, 0.0]
21 [9.72, 0.0] [0.17, 3.82] [1.93, 0.0]
22 [9.72, 0.0] [0.17, 3.72] [2.0, 0.0]
23 [9.72, 0.0] [0.17, 3.59] [2.04, 0.0]
24 [9.72, 0.0] [0.17, 3.43] [2.06, 0.0]
25 [9.72, 0.0] [0.17, 3.23] [2.06, 0.0]
26 [9.72, 0.0] [0.17, 3.0] [2.04, 0.0]
27 [9.72, 0.0] [0.17, 2.73] [1.99, 0.0]
28 [9.72, 0.0] [0.17, 2.41] [1.91, 0.0]
29 [9.72, 0.0] [0.17, 2.04] [1.78, 0.0]
30 [9.72, 0.0] [0.17, 1.63] [1.58, 0.0]
31 [9.72, 0.0] [0.17, 1.21] [1.28, 0.0]
32 [9.72, 0.0] [0.17, 0.8] [0.84, 0.0]
33 [9.72, 0.0] [0.17, 0.44] [0.2, 0.0]
34 [9.72, 0.0] [0.17, 0.16] [0.2, 0.0]
35 [9.72, 0.0] [0.17, 0.16] [0.2, 0.0]
36 [9.72, 0.0] [0.17, 0.16] [0.2, 0.02]
37 [9.72, 0.0] [0.17, 0.16] [0.2, 0.15]
38 [9.72, 0.0] [0.17, 0.16] [0.2, 0.48]
39 [9.72, 0.0] [0.17, 0.16] [0.2, 1.06]
40 [8.97, 0.47] [0.17, 0.42] [0.2, 1.63]
41 [9.37, 1.26] [0.17, 1.19] [0.2, 2.12]
42 [9.88, 2.0] [0.41, 2.04] [0.2, 2.81]
43 [9.88, 2.81] [1.13, 2.54] [0.2, 3.52]
44 [9.88, 3.62] [1.91, 2.96] [0.2, 4.31]
45 [9.88, 4.31] [2.66, 3.36] [0.28, 5.22]
46 [9.88, 4.76] [3.27, 3.69] [0.95, 5.92]
47 [9.87, 5.14] [3.74, 4.01] [1.78, 6.4]
48 [9.72, 5.38] [4.05, 4.29] [2.63, 6.84]
49 [9.53, 5.52] [4.27, 4.48] [3.49, 7.2]
50 [9.34, 5.62] [4.46, 4.63] [4.31, 7.47]
51 [9.18, 5.71] [4.62, 4.75] [5.08, 7.67]
52 [9.05, 5.79] [4.76, 4.85] [5.81, 7.79]
53 [8.96, 5.87] [4.88, 4.92] [6.55, 7.86]
54 [8.89, 5.98] [5.01, 4.97] [7.29, 7.91]
