0 [0.13, 0.0] [0.0, 0.0] [0.01, -0.0]
1 [0.29, 0.0] [0.01, 0.0] [0.03, -0.0]
2 [0.48, 0.0] [0.04, 0.0] [0.05, -0.0]
3 [0.69, 0.0] [0.1, 0.0] [0.07, -0.0]
4 [0.92, 0.0] [0.19, 0.0] [0.09, -0.0]
5 [1.16, 0.0] [0.3, 0.0] [0.11, -0.0]
6 [1.41, 0.0] [0.43, 0.0] [0.13, -0.0]
7 [1.67, 0.0] [0.57, 0.0] [0.16, -0.0]
8 [1.94, 0.0] [0.73, 0.0] [0.19, -0.0]
9 [2.22, 0.0] [0.91, 0.0] [0.22, -0.0]
10 [2.5, 0.0] [1.11, 0.0] [0.25, -0.0]
11 [2.79, 0.0] [1.34, 0.0] [0.29, -0.0]
12 [3.08, 0.0] [1.59, 0.0] [0.33, -0.0]
13 [3.37, 0.0] [1.87, 0.0] [0.38, -0.0]
14 [3.65, 0.0] [2.18, 0.0] [0.43, -0.0]
15 [3.92, 0.0] [2.51, 0.0] [0.49, -0.0]
16 [4.17, 0.0] [2.86, 0.0] [0.55, -0.0]
17 [4.41, 0.0] [3.18, 0.0] [0.6, -0.0]
18 [4.63, 0.0] [3.46, 0.0] [0.64, -0.0]
19 [4.84, 0.0] [3.7, 0.0] [0.67, -0.0]
20 [5.04, 0.0] [3.92, 0.0] [0.7, -0.0]
21 [5.24, 0.0] [4.12, 0.0] [0.73, -0.0]
22 [5.44, 0.0] [4.3, 0.0] [0.75, -0.0]
23 [5.64, 0.0] [4.47, 0.0] [0.77, -0.0]
24 [5.84, 0.0] [4.63, 0.0] [0.79, -0.0]
25 [6.03, 0.0] [4.78, 0.0] [0.81, -0.0]
26 [6.21, 0.0] [4.92, 0.0] [0.83, -0.0]
27 [6.39, 0.0] [5.05, 0.0] [0.85, -0.0]
28 [6.56, 0.0] [5.17, 0.0] [0.88, -0.0]
29 [6.72, 0.0] [5.28, 0.0] [0.91, -0.0]
30 [6.87, 0.0] [5.37, 0.0] [0.94, -0.0]
31 [7.01, 0.0] [5.45, 0.0] [0.98, -0.0]
32 [7.15, 0.0] [5.51, 0.0] [1.02, -0.0]
33 [7.29, 0.0] [5.56, 0.0] [1.07, -0.0]
34 [7.43, 0.0] [5.59, 0.0] [1.13, -0.0]
35 [7.57, 0.0] [5.61, 0.0] [1.2, -0.0]
36 [7.71, 0.0] [5.61, 0.0] [1.28, -0.0]
37 [7.86, 0.0] [5.6, 0.0] [1.38, -0.0]
38 [8.01, 0.0] [5.58, 0.0] [1.49, -0.0]
39 [8.17, 0.0] [5.55, 0.0] [1.62, -0.0]
40 [8.34, 0.0] [5.51, 0.0] [1.78, -0.0]
41 [8.51, 0.0] [5.46, 0.0] [1.95, -0.0]
42 [8.7, 0.0] [5.4, 0.0] [2.13, -0.0]
43 [8.9, 0.0] [5.33, 0.0] [2.31, -0.0]
44 [9.11, 0.0] [5.26, 0.0] [2.45, -0.0]
45 [9.33, 0.0] [5.18, 0.0] [2.5, -0.0]
46 [9.56, 0.0] [5.09, 0.0] [2.38, -0.0]
47 [9.79, 0.0] [4.99, 0.0] [1.99, -0.0]
48 [9.99, 0.0] [4.84, 0.0] [1.26, -0.0]
49 [9.99, 0.0] [4.54, 0.0] [0.39, 0.29]
50 [9.99, 0.0] [3.88, 0.07] [0.39, 1.15]
51 [9.99, 0.0] [3.13, 0.55] [0.09, 2.07]
52 [9.81, 0.0] [2.82, 1.45] [0.09, 3.02]
53 [9.39, 0.73] [3.23, 2.29] [0.18, 3.96]
54 [9.17, 1.6] [3.61, 3.03] [0.35, 4.88]
55 [8.89, 2.44] [3.74, 3.63] [0.64, 5.76]
56 [8.8, 3.3] [3.89, 4.02] [1.11, 6.56]
57 [8.86, 4.09] [4.08, 4.27] [1.87, 7.11]
58 [8.9, 4.68] [4.25, 4.45] [2.76, 7.38]
59 [8.9, 5.07] [4.38, 4.59] [3.68, 7.55]
60 [8.9, 5.37] [4.5, 4.71] [4.58, 7.68]
61 [8.9, 5.61] [4.62, 4.81] [5.45, 7.79]
62 [8.93, 5.78] [4.76, 4.89] [6.28, 7.87]
63 [8.97, 5.91] [4.92, 4.95] [7.04, 7.94]
