0 [0.14, 0.0] [0.0, 0.0] [0.01, -0.0]
1 [0.31, 0.0] [0.0, 0.0] [0.02, -0.0]
2 [0.51, 0.0] [0.03, 0.0] [0.04, -0.0]
3 [0.73, 0.0] [0.09, 0.0] [0.06, -0.0]
4 [0.97, 0.0] [0.17, 0.0] [0.08, -0.0]
5 [1.23, 0.0] [0.27, 0.0] [0.1, -0.0]
6 [1.5, 0.0] [0.39, 0.0] [0.12, -0.0]
7 [1.78, 0.0] [0.52, 0.0] [0.14, -0.0]
8 [2.07, 0.0] [0.67, 0.0] [0.17, -0.0]
9 [2.37, 0.0] [0.84, 0.0] [0.2, -0.0]
10 [2.68, 0.0] [1.03, 0.0] [0.23, -0.0]
11 [2.99, 0.0] [1.24, 0.0] [0.26, -0.0]
12 [3.31, 0.0] [1.48, 0.0] [0.3, -0.0]
13 [3.62, 0.0] [1.74, 0.0] [0.34, -0.0]
14 [3.92, 0.0] [2.02, 0.0] [0.39, -0.0]
15 [4.21, 0.0] [2.32, 0.0] [0.44, -0.0]
16 [4.49, 0.0] [2.63, 0.0] [0.49, -0.0]
17 [4.76, 0.0] [2.92, 0.0] [0.54, -0.0]
18 [5.01, 0.0] [3.17, 0.0] [0.58, -0.0]
19 [5.25, 0.0] [3.39, 0.0] [0.61, -0.0]
20 [5.48, 0.0] [3.59, 0.0] [0.64, -0.0]
21 [5.7, 0.0] [3.77, 0.0] [0.67, -0.0]
22 [5.92, 0.0] [3.93, 0.0] [0.69, -0.0]
23 [6.14, 0.0] [4.08, 0.0] [0.71, -0.0]
24 [6.36, 0.0] [4.22, 0.0] [0.73, -0.0]
25 [6.57, 0.0] [4.35, 0.0] [0.75, -0.0]
26 [6.77, 0.0] [4.47, 0.0] [0.78, -0.0]
27 [6.96, 0.0] [4.58, 0.0] [0.81, -0.0]
28 [7.14, 0.0] [4.68, 0.0] [0.84, -0.0]
29 [7.31, 0.0] [4.77, 0.0] [0.87, -0.0]
30 [7.47, 0.0] [4.84, 0.0] [0.91, -0.0]
31 [7.63, 0.0] [4.9, 0.0] [0.96, -0.0]
32 [7.78, 0.0] [4.94, 0.0] [1.01, -0.0]
33 [7.93, 0.0] [4.97, 0.0] [1.07, -0.0]
34 [8.08, 0.0] [4.98, 0.0] [1.15, -0.0]
35 [8.23, 0.0] [4.98, 0.0] [1.24, -0.0]
36 [8.39, 0.0] [4.97, 0.0] [1.35, -0.0]
37 [8.55, 0.0] [4.95, 0.0] [1.48, -0.0]
38 [8.72, 0.0] [4.92, 0.0] [1.63, -0.0]
39 [8.89, 0.0] [4.88, 0.0] [1.79, -0.0]
40 [9.07, 0.0] [4.83, 0.0] [1.94, -0.0]
41 [9.26, 0.0] [4.78, 0.0] [2.07, -0.0]
42 [9.46, 0.0] [4.72, 0.0] [2.13, -0.0]
43 [9.67, 0.0] [4.65, 0.0] [2.06, -0.0]
44 [9.88, 0.0] [4.57, 0.0] [1.77, -0.0]
45 [9.88, 0.0] [4.45, 0.0] [1.16, -0.0]
46 [9.88, 0.0] [4.22, 0.0] [0.31, 0.01]
47 [9.88, 0.0] [3.71, 0.0] [0.31, 0.62]
48 [9.88, 0.0] [2.98, 0.25] [0.31, 1.46]
49 [9.98, 0.0] [2.43, 0.98] [0.31, 2.32]
50 [9.4, 0.0] [2.59, 1.87] [0.06, 3.21]
51 [9.49, 0.93] [3.19, 2.47] [0.04, 4.12]
52 [9.2, 1.77] [3.48, 3.12] [0.22, 5.02]
53 [8.91, 2.6] [3.6, 3.6] [0.51, 5.88]
54 [8.78, 3.43] [3.76, 3.95] [1.01, 6.65]
55 [8.81, 4.18] [3.97, 4.2] [1.79, 7.14]
56 [8.84, 4.72] [4.15, 4.37] [2.68, 7.39]
57 [8.83, 5.1] [4.29, 4.52] [3.58, 7.56]
58 [8.82, 5.41] [4.41, 4.64] [4.47, 7.69]
59 [8.81, 5.64] [4.53, 4.74] [5.31, 7.79]
60 [8.83, 5.81] [4.66, 4.82] [6.1, 7.87]
61 [8.86, 5.94] [4.82, 4.88] [6.81, 7.93]
