0 [-0.0, 0.28] [0.0, 0.0] [0.0, 0.0]
1 [0.09, 0.45] [0.0, 0.0] [0.33, 0.0]
2 [0.14, 0.61] [0.0, 0.0] [0.63, 0.0]
3 [0.16, 0.77] [0.0, 0.0] [0.94, 0.0]
4 [0.16, 0.92] [0.0, 0.0] [1.26, 0.0]
5 [0.14, 1.07] [0.0, 0.0] [1.59, 0.0]
6 [0.12, 1.22] [0.0, 0.0] [1.94, 0.0]
7 [0.11, 1.37] [0.0, 0.0] [2.3, 0.0]
8 [0.1, 1.52] [0.0, 0.0] [2.68, 0.0]
9 [0.1, 1.67] [0.0, 0.0] [3.07, 0.0]
10 [0.11, 1.82] [0.0, 0.0] [3.47, 0.0]
11 [0.13, 1.97] [0.0, 0.0] [3.88, 0.0]
12 [0.14, 2.12] [0.0, 0.0] [4.3, 0.0]
13 [0.15, 2.28] [0.0, 0.0] [4.72, 0.0]
14 [0.15, 2.44] [0.0, 0.0] [5.14, 0.0]
15 [0.14, 2.6] [0.0, 0.0] [5.57, 0.0]
16 [0.12, 2.76] [0.0, 0.0] [6.0, 0.0]
17 [0.1, 2.92] [0.0, 0.0] [6.44, 0.0]
18 [0.08, 3.08] [0.0, 0.0] [6.89, 0.0]
19 [0.07, 3.24] [0.0, 0.0] [7.35, 0.0]
20 [0.07, 3.4] [0.0, 0.0] [7.82, 0.0]
21 [0.06, 3.56] [0.0, 0.0] [8.29, 0.0]
22 [0.03, 3.72] [0.0, 0.0] [8.76, 0.0]
23 [0.03, 3.88] [0.0, 0.0] [9.22, 0.0]
24 [0.03, 4.04] [0.0, 0.0] [9.67, 0.0]
25 [0.03, 4.19] [0.0, 0.0] [9.67, 0.0]
26 [0.03, 4.33] [0.0, 0.0] [9.67, 0.0]
27 [0.03, 4.46] [0.0, 0.0] [9.67, 0.0]
28 [0.03, 4.57] [0.0, 0.0] [9.67, 0.0]
29 [0.03, 4.68] [0.0, 0.0] [9.67, 0.0]
30 [0.03, 4.78] [0.0, 0.0] [9.67, 0.0]
31 [0.03, 4.87] [0.0, 0.0] [9.67, 0.0]
32 [0.03, 4.96] [0.0, 0.0] [9.67, 0.0]
33 [0.03, 5.05] [0.0, 0.0] [9.67, 0.0]
34 [0.03, 5.13] [0.0, 0.0] [9.67, 0.0]
35 [0.03, 5.21] [0.0, 0.0] [9.67, 0.0]
36 [0.03, 5.29] [0.0, 0.0] [9.67, 0.0]
37 [0.03, 5.37] [0.0, 0.0] [9.67, 0.0]
38 [0.03, 5.44] [0.0, 0.0] [9.67, 0.0]
39 [0.03, 5.51] [0.0, 0.0] [9.67, 0.0]
40 [0.03, 5.57] [0.0, 0.0] [9.67, 0.0]
41 [0.03, 5.63] [0.0, 0.0] [9.67, 0.0]
42 [0.03, 5.68] [0.0, 0.0] [9.67, 0.0]
43 [0.03, 5.73] [0.0, 0.0] [9.67, 0.0]
44 [0.03, 5.77] [0.0, 0.0] [9.67, 0.0]
45 [0.03, 5.8] [0.0, 0.0] [9.67, 0.0]
46 [0.03, 5.82] [0.0, 0.0] [9.67, 0.0]
47 [0.03, 5.83] [0.0, -0.0] [9.67, 0.0]
48 [0.03, 5.82] [0.0, 0.02] [9.67, 0.0]
49 [0.03, 5.8] [0.0, 0.05] [9.99, 0.0]
50 [0.03, 5.72] [0.0, 0.13] [9.99, 0.0]
51 [0.03, 5.62] [0.0, 0.2] [9.99, 0.0]
52 [0.03, 5.49] [0.0, 0.28] [9.99, 0.0]
53 [0.03, 5.33] [0.0, 0.36] [9.99, 0.0]
54 [0.03, 5.15] [0.0, 0.44] [9.99, 0.0]
