0 [0.0, 0.0] [0.0, -0.0] [0.76, 0.05]
1 [0.02, 0.0] [0.0, -0.0] [1.16, 0.1]
2 [0.12, 0.07] [0.02, 0.42] [1.32, 0.14]
3 [0.27, 0.21] [0.02, 0.61] [1.45, 0.2]
4 [0.39, 0.6] [0.02, 1.01] [1.55, 0.32]
5 [0.04, 1.01] [0.02, 1.17] [1.25, 0.65]
6 [0.04, 0.81] [0.02, 0.65] [0.67, 0.16]
7 [0.27, 1.26] [0.02, 0.38] [0.92, 0.53]
8 [0.21, 2.19] [0.02, 0.71] [1.1, 0.68]
9 [0.03, 3.03] [0.02, 0.73] [1.25, 1.2]
10 [0.03, 3.62] [0.02, 0.59] [1.3, 1.86]
11 [0.03, 4.34] [0.02, 0.11] [1.75, 2.44]
12 [0.63, 5.13] [0.22, 0.11] [2.57, 2.67]
13 [1.52, 5.54] [0.42, 0.01] [3.46, 2.8]
14 [2.45, 5.81] [0.61, 0.01] [4.38, 2.91]
15 [3.36, 6.04] [0.82, 0.01] [5.31, 3.01]
16 [4.19, 6.27] [1.06, 0.01] [6.23, 3.11]
17 [4.87, 6.54] [1.26, 0.01] [7.13, 3.21]
18 [5.32, 6.81] [1.13, 0.01] [7.99, 3.3]
19 [5.5, 7.0] [0.48, 0.07] [8.81, 3.37]
20 [5.55, 7.07] [0.5, 0.8] [9.56, 3.41]
21 [5.54, 7.11] [1.2, 1.29] [9.95, 3.43]
22 [5.47, 7.09] [2.09, 1.54] [9.95, 3.44]
23 [5.39, 7.03] [2.99, 1.79] [9.95, 3.45]
24 [5.33, 6.93] [3.89, 2.06] [9.95, 3.46]
25 [5.32, 6.8] [4.79, 2.35] [9.95, 3.48]
