0 [1.0, 0.0] [0.0, -0.0] [0.0, -0.0]
1 [2.0, 0.0] [0.0, -0.0] [0.0, -0.0]
2 [3.0, 0.01] [0.0, -0.0] [0.01, -0.0]
3 [3.93, 0.23] [0.01, -0.0] [0.12, -0.0]
4 [4.02, 0.21] [0.94, 0.08] [0.84, 0.64]
5 [4.02, 0.21] [1.94, 0.08] [1.84, 0.64]
6 [4.02, 0.21] [2.94, 0.08] [2.84, 0.64]
7 [4.02, 0.21] [3.94, 0.08] [3.84, 0.64]
8 [4.02, 0.21] [4.94, 0.08] [4.84, 0.64]
9 [4.02, 0.21] [5.94, 0.11] [5.84, 0.64]
10 [4.02, 0.21] [6.93, 0.23] [6.84, 0.65]
11 [4.02, 0.21] [7.85, 0.61] [7.84, 0.66]
12 [4.02, 0.21] [8.7, 1.12] [8.84, 0.67]
13 [4.02, 0.21] [9.63, 1.49] [9.84, 0.68]
14 [4.02, 0.21] [9.63, 1.71] [9.84, 0.68]
15 [4.02, 0.21] [9.63, 1.92] [9.84, 0.68]
16 [4.02, 0.21] [9.63, 2.11] [9.84, 0.68]
17 [4.02, 0.21] [9.63, 2.28] [9.84, 0.68]
18 [4.02, 0.21] [9.63, 2.43] [9.84, 0.68]
19 [4.02, 0.21] [9.63, 2.57] [9.84, 0.68]
20 [4.02, 0.21] [9.63, 2.7] [9.84, 0.68]
21 [4.02, 0.21] [9.63, 2.82] [9.84, 0.68]
22 [4.02, 0.21] [9.63, 2.93] [9.84, 0.68]
23 [4.02, 0.21] [9.63, 3.04] [9.84, 0.68]
24 [4.02, 0.21] [9.63, 3.14] [9.84, 0.68]
25 [4.02, 0.21] [9.63, 3.24] [9.84, 0.68]
26 [4.02, 0.21] [9.63, 3.34] [9.84, 0.68]
27 [4.02, 0.21] [9.63, 3.44] [9.84, 0.68]
28 [4.02, 0.21] [9.63, 3.54] [9.84, 0.68]
29 [4.02, 0.21] [9.63, 3.64] [9.84, 0.68]
30 [4.02, 0.21] [9.63, 3.74] [9.84, 0.68]
31 [4.02, 0.21] [9.63, 3.84] [9.84, 0.68]
32 [4.02, 0.21] [9.63, 3.94] [9.84, 0.68]
33 [4.02, 0.21] [9.63, 4.04] [9.84, 0.68]
34 [4.02, 0.21] [9.63, 4.14] [9.84, 0.68]
35 [4.02, 0.21] [9.63, 4.24] [9.84, 0.68]
36 [4.02, 0.21] [9.63, 4.34] [9.84, 0.68]
37 [4.02, 0.21] [9.63, 4.44] [9.84, 0.68]
38 [4.02, 0.21] [9.63, 4.54] [9.84, 0.68]
39 [4.02, 0.21] [9.63, 4.64] [9.84, 0.68]
40 [4.02, 0.21] [9.63, 4.73] [9.84, 0.68]
41 [4.02, 0.21] [9.63, 4.82] [9.84, 0.68]
42 [4.02, 0.21] [9.63, 4.91] [9.84, 0.68]
43 [4.02, 0.21] [9.63, 4.99] [9.84, 0.68]
44 [4.02, 0.21] [9.63, 5.07] [9.84, 0.68]
45 [4.02, 0.21] [9.63, 5.15] [9.84, 0.68]
46 [4.02, 0.21] [9.63, 5.23] [9.84, 0.68]
47 [4.02, 0.21] [9.63, 5.31] [9.84, 0.68]
48 [4.02, 0.21] [9.63, 5.38] [9.84, 0.68]
49 [4.02, 0.21] [9.63, 5.45] [9.84, 0.68]
50 [4.02, 0.21] [9.63, 5.51] [9.84, 0.68]
51 [4.02, 0.21] [9.63, 5.57] [9.84, 0.68]
52 [4.02, 0.21] [9.63, 5.63] [9.84, 0.68]
53 [4.02, 0.21] [9.63, 5.68] [9.84, 0.68]
54 [4.02, 0.21] [9.63, 5.73] [9.84, 0.68]
55 [4.02, 0.21] [9.63, 5.78] [9.84, 0.68]
56 [4.02, 0.21] [9.63, 5.82] [9.84, 0.68]
57 [4.02, 0.21] [9.63, 5.86] [9.84, 0.68]
58 [4.02, 0.21] [9.63, 5.9] [9.84, 0.68]
59 [4.02, 0.21] [9.63, 5.93] [9.84, 0.68]
60 [4.02, 0.21] [9.63, 5.96] [9.84, 0.68]
61 [4.02, 0.21] [9.63, 5.99] [9.84, 0.68]
62 [4.02, 0.21] [9.63, 6.01] [9.84, 0.68]
63 [4.02, 0.21] [9.63, 6.03] [9.84, 0.68]
64 [4.02, 0.21] [9.63, 6.05] [9.84, 0.68]
65 [4.02, 0.21] [9.63, 6.07] [9.84, 0.68]
66 [4.02, 0.21] [9.63, 6.09] [9.84, 0.68]
67 [4.02, 0.21] [9.63, 6.1] [9.84, 0.68]
68 [4.02, 0.21] [9.63, 6.11] [9.84, 0.68]
69 [4.02, 0.21] [9.63, 6.12] [9.84, 0.68]
70 [4.02, 0.21] [9.63, 6.13] [9.84, 0.68]
71 [4.02, 0.21] [9.63, 6.14] [9.84, 0.68]
72 [4.02, 0.21] [9.63, 6.15] [9.84, 0.68]
73 [4.02, 0.21] [9.63, 6.16] [9.84, 0.68]
74 [4.02, 0.21] [9.63, 6.18] [9.84, 0.68]
