0 [0.44, 0.69] [0.36, 0.0] [0.0, 0.0]
1 [1.1, 1.25] [0.93, 0.0] [0.0, 0.0]
2 [1.85, 1.72] [1.62, 0.0] [0.06, 0.0]
3 [2.64, 2.15] [2.35, 0.0] [0.2, 0.0]
4 [3.45, 2.56] [3.11, 0.0] [0.39, 0.0]
5 [4.27, 2.96] [3.88, 0.0] [0.59, 0.0]
6 [5.06, 3.39] [4.61, 0.0] [0.75, 0.0]
7 [5.79, 3.89] [5.26, 0.0] [0.8, 0.0]
8 [6.41, 4.48] [5.75, 0.0] [0.69, 0.0]
9 [6.84, 5.17] [6.0, 0.0] [0.41, 0.0]
10 [7.01, 5.91] [5.93, 0.0] [0.41, 0.0]
11 [6.94, 6.6] [5.6, 0.0] [0.41, 0.0]
12 [6.66, 7.17] [5.1, 0.0] [0.41, 0.0]
13 [6.23, 7.55] [4.55, 0.0] [0.41, 0.0]
14 [5.75, 7.71] [4.05, 0.07] [0.41, 0.06]
15 [5.29, 7.71] [3.64, 0.26] [0.41, 0.21]
16 [4.87, 7.63] [3.3, 0.51] [0.0, 0.4]
17 [4.49, 7.49] [3.0, 0.78] [0.0, 0.61]
18 [4.1, 7.37] [2.69, 1.04] [0.0, 0.82]
19 [3.72, 7.24] [2.39, 1.31] [0.0, 1.04]
20 [3.34, 7.11] [2.09, 1.58] [0.0, 1.26]
