0 [1.0, 0.0] [1.0, -0.0] [1.0, -0.0]
1 [2.0, 0.0] [2.0, -0.0] [2.0, -0.0]
2 [3.0, 0.0] [3.0, -0.0] [3.0, -0.0]
3 [4.0, 0.0] [4.0, -0.0] [4.0, -0.0]
4 [5.0, 0.0] [5.0, -0.0] [5.0, -0.0]
5 [6.0, 0.0] [6.0, -0.0] [6.0, -0.0]
6 [7.0, 0.0] [7.0, -0.0] [7.0, -0.0]
7 [8.0, 0.0] [8.0, -0.0] [8.0, -0.0]
8 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
9 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
10 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
11 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
12 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
13 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
14 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
15 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
16 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
17 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
18 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
19 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
20 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
21 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
22 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
23 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
24 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
25 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
26 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
27 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
28 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
29 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
30 [9.0, 0.0] [9.0, -0.0] [9.0, -0.0]
31 [9.0, 0.0] [9.0, -0.0] [9.99, -0.0]
32 [9.0, 0.0] [9.99, -0.0] [9.99, -0.0]
33 [9.0, 0.0] [9.99, -0.0] [9.99, -0.0]
34 [9.0, 0.0] [9.99, -0.0] [9.99, -0.0]
35 [9.0, 0.0] [9.99, -0.0] [9.99, -0.0]
36 [9.0, 0.01] [9.99, -0.0] [9.99, -0.0]
37 [9.99, 0.03] [9.99, -0.0] [9.99, -0.0]
38 [9.99, 0.07] [9.99, -0.0] [9.99, -0.0]
39 [9.99, 0.14] [9.99, -0.0] [9.99, -0.0]
40 [9.99, 0.3] [9.99, -0.0] [9.99, -0.0]
41 [9.99, 0.66] [9.99, -0.0] [9.99, -0.0]
42 [9.99, 1.41] [9.67, -0.0] [9.37, -0.0]
43 [9.84, 0.9] [9.79, 0.21] [9.54, 0.16]
44 [9.84, 0.8] [9.86, 0.23] [9.6, 0.18]
45 [9.84, 0.77] [9.9, 0.24] [9.63, 0.19]
46 [9.95, 0.76] [9.92, 0.24] [9.65, 0.19]
47 [9.95, 0.76] [9.93, 0.24] [9.66, 0.19]
48 [9.95, 0.76] [9.94, 0.24] [9.66, 0.19]
49 [9.98, 0.76] [9.94, 0.24] [9.66, 0.19]
50 [9.98, 0.76] [9.94, 0.24] [9.66, 0.19]
51 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
52 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
53 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
54 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
55 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
56 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
57 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
58 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
59 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
60 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
61 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
62 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
63 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
64 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
65 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
66 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
67 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
68 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
69 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
70 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
71 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
72 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
73 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
74 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
75 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
76 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
77 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
78 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
79 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
80 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
81 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
82 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
83 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
84 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
85 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
86 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
87 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
88 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
89 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
90 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
91 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
92 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
93 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
94 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
95 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
96 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
97 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
98 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
99 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
100 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
101 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
102 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
103 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
104 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
105 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
106 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
107 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
108 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
109 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
110 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
111 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
112 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
113 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
114 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
115 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
116 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
117 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
118 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
119 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
120 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
121 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
122 [9.99, 0.76] [9.94, 0.24] [9.66, 0.19]
