0 [0.62, 0.0] [1.0, 0.0] [0.2, 0.0]
1 [0.62, 0.0] [2.0, 0.0] [1.2, 0.0]
2 [0.62, 0.0] [1.68, 0.79] [0.47, 0.68]
3 [0.62, 0.0] [2.62, 1.02] [1.45, 0.86]
4 [0.62, -0.0] [2.65, 1.02] [2.45, 0.77]
5 [0.62, -0.0] [2.65, 1.02] [3.45, 0.77]
6 [0.62, -0.0] [2.65, 1.02] [4.45, 0.77]
7 [0.62, -0.0] [2.65, 1.02] [5.45, 0.77]
8 [0.62, -0.0] [2.65, 1.02] [6.45, 0.77]
9 [0.62, -0.0] [2.65, 1.02] [7.45, 0.77]
10 [0.62, -0.0] [2.65, 1.02] [8.45, 0.77]
11 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
12 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
13 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
14 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
15 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
16 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
17 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
18 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
19 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
20 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
21 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
22 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
23 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
24 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
25 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
26 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
27 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
28 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
29 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
30 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
31 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
32 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
33 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
34 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
35 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
36 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
37 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
38 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
39 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
40 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
41 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
42 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
43 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
44 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
45 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
46 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
47 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
48 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
49 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
50 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
51 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
52 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
53 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
54 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
55 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
56 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
57 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
58 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
59 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
60 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
61 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
62 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
63 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
64 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
65 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
66 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
67 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
68 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
69 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
70 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
71 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
72 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
73 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
74 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
75 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
76 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
77 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
78 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
79 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
80 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
81 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
82 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
83 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
84 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
85 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
86 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
87 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
88 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
89 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
90 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
91 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
92 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
93 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
94 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
95 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
96 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
97 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
98 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
99 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
100 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
101 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
102 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
103 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
104 [0.62, -0.0] [2.65, 1.02] [9.45, 0.77]
