0 [1.0, 0.01] [0.0, -0.0] [1.0, 0.0]
1 [2.0, 0.06] [0.0, -0.0] [1.99, 0.03]
2 [2.85, 0.54] [0.02, -0.0] [2.79, 0.46]
3 [2.09, 0.55] [0.11, -0.0] [2.69, 0.18]
4 [1.42, 0.36] [0.33, -0.0] [2.66, 0.18]
5 [0.94, 0.36] [0.61, -0.0] [2.73, 0.18]
6 [0.96, 0.36] [0.82, -0.0] [2.85, 0.09]
7 [1.15, 0.18] [0.29, -0.0] [2.93, 0.06]
8 [1.37, 0.18] [0.56, -0.0] [3.0, 0.04]
9 [1.53, 0.12] [0.33, -0.0] [3.04, 0.04]
10 [1.64, 0.1] [0.18, -0.0] [3.06, 0.04]
11 [1.7, 0.09] [0.18, -0.0] [3.07, 0.04]
12 [1.73, 0.09] [0.18, -0.0] [3.08, 0.04]
13 [1.75, 0.09] [0.18, 0.26] [3.08, 0.04]
14 [1.76, 0.09] [0.18, 0.84] [3.08, 0.04]
15 [1.77, 0.09] [0.18, 1.49] [3.08, 0.04]
16 [1.78, 0.09] [0.18, 2.26] [3.08, 0.04]
17 [1.79, 0.09] [0.18, 3.11] [3.08, 0.04]
18 [1.8, 0.09] [0.15, 4.01] [3.08, 0.04]
19 [1.81, 0.09] [0.32, 4.9] [3.08, 0.04]
20 [1.82, 0.09] [0.76, 5.71] [3.08, 0.04]
21 [1.83, 0.09] [1.41, 6.38] [3.08, 0.04]
22 [1.84, 0.09] [2.25, 6.84] [3.08, 0.04]
23 [1.85, 0.09] [3.2, 7.08] [3.08, 0.04]
24 [1.85, 0.09] [4.19, 7.19] [3.08, 0.04]
25 [1.85, 0.09] [5.18, 7.24] [3.08, 0.04]
26 [1.85, 0.09] [6.18, 7.27] [3.08, 0.04]
27 [1.85, 0.09] [7.18, 7.28] [3.08, 0.04]
28 [1.85, 0.09] [8.18, 7.29] [3.08, 0.04]
29 [1.85, 0.09] [9.18, 7.3] [3.08, 0.04]
30 [1.85, 0.09] [9.18, 7.31] [3.08, 0.04]
31 [1.85, 0.09] [9.18, 7.32] [3.08, 0.04]
32 [1.85, 0.09] [9.18, 7.33] [3.08, 0.04]
33 [1.85, 0.09] [9.18, 7.34] [3.08, 0.04]
34 [1.85, 0.09] [9.18, 7.35] [3.08, 0.04]
35 [1.85, 0.09] [9.18, 7.36] [3.08, 0.04]
36 [1.85, 0.09] [9.18, 7.37] [3.08, 0.04]
37 [1.85, 0.09] [9.18, 7.38] [3.08, 0.04]
38 [1.85, 0.09] [9.18, 7.39] [3.08, 0.04]
39 [1.85, 0.09] [9.18, 7.4] [3.08, 0.04]
40 [1.85, 0.09] [9.18, 7.41] [3.08, 0.04]
41 [1.85, 0.09] [9.18, 7.42] [3.08, 0.04]
