0 [1.0, 0.0] [0.0, -0.0] [1.0, 0.0]
1 [2.0, 0.0] [0.03, -0.0] [2.0, 0.0]
2 [3.0, 0.01] [0.29, -0.0] [3.0, 0.0]
3 [3.99, 0.07] [0.29, 0.73] [4.0, 0.02]
4 [3.69, 0.59] [1.24, 0.96] [4.3, 0.84]
5 [3.68, 0.47] [2.23, 1.06] [3.96, 0.53]
6 [3.67, 0.36] [3.23, 1.07] [3.62, 0.22]
7 [3.39, 0.37] [4.23, 1.07] [3.17, 0.71]
8 [3.26, 0.25] [5.23, 1.08] [2.7, 0.75]
9 [3.12, 0.13] [6.23, 1.09] [2.29, 0.78]
10 [2.95, 0.01] [7.23, 1.1] [1.92, 0.85]
11 [2.82, 0.01] [8.23, 1.11] [1.6, 0.86]
12 [2.71, 0.01] [9.23, 1.12] [1.31, 0.85]
13 [2.48, 0.01] [9.23, 1.13] [1.02, 1.05]
14 [2.42, 0.01] [9.23, 1.14] [0.81, 0.99]
15 [2.42, 0.01] [9.23, 1.15] [0.68, 0.87]
16 [2.45, 0.01] [9.23, 1.16] [0.62, 0.74]
17 [2.49, 0.01] [9.23, 1.17] [0.61, 0.63]
18 [2.53, 0.01] [9.23, 1.18] [0.63, 0.54]
19 [2.57, 0.01] [9.23, 1.18] [0.67, 0.48]
20 [2.6, 0.01] [9.23, 1.18] [0.71, 0.44]
21 [2.63, 0.0] [9.23, 1.18] [0.74, 0.42]
22 [2.65, 0.0] [9.23, 1.18] [0.77, 0.41]
23 [2.66, -0.0] [9.23, 1.18] [0.79, 0.4]
24 [2.67, -0.0] [9.23, 1.18] [0.81, 0.4]
25 [2.68, -0.0] [9.23, 1.18] [0.82, 0.4]
26 [2.69, -0.0] [9.23, 1.18] [0.83, 0.4]
27 [2.69, -0.0] [9.23, 1.18] [0.84, 0.4]
28 [2.69, -0.0] [9.23, 1.18] [0.85, 0.4]
29 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
30 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
31 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
32 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
33 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
34 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
35 [2.69, -0.0] [9.23, 1.18] [0.86, 0.4]
