0 [0.99, 1.0] [0.91, 1.0] [0.95, 1.0]
1 [1.99, 1.0] [1.77, 1.02] [1.94, 1.01]
2 [2.98, 1.01] [2.48, 1.15] [2.9, 1.07]
3 [3.98, 1.02] [3.35, 1.25] [3.88, 1.11]
4 [4.98, 1.04] [3.95, 1.6] [4.84, 1.22]
5 [5.97, 1.12] [3.96, 2.03] [5.68, 1.6]
6 [6.93, 1.29] [4.16, 2.48] [6.29, 2.15]
7 [7.3, 2.05] [4.57, 3.18] [6.48, 2.99]
8 [7.57, 2.78] [5.32, 3.78] [6.68, 3.9]
9 [7.65, 3.72] [5.82, 4.62] [6.82, 4.84]
10 [7.63, 4.69] [6.25, 5.5] [6.95, 5.78]
11 [7.56, 5.67] [6.64, 6.4] [7.07, 6.71]
12 [7.45, 6.65] [6.86, 7.35] [7.01, 7.62]
13 [7.31, 7.63] [6.97, 8.23] [6.95, 8.38]
14 [7.11, 8.54] [6.99, 8.75] [6.96, 8.78]
15 [7.02, 8.9] [7.0, 8.92] [6.98, 8.94]
16 [7.0, 9.0] [7.01, 9.02] [7.0, 9.03]
