0 [0.0, 0.99] [-0.0, 0.99] [0.01, 0.99]
1 [0.0, 0.98] [-0.0, 0.98] [0.02, 0.98]
2 [0.0, 0.98] [-0.0, 0.97] [0.03, 0.97]
3 [0.0, 0.98] [-0.0, 0.97] [0.04, 0.96]
4 [0.0, 0.99] [-0.0, 0.97] [0.05, 0.95]
5 [0.0, 1.01] [-0.0, 0.98] [0.06, 0.94]
6 [0.0, 1.04] [-0.0, 1.0] [0.07, 0.93]
7 [-0.0, 1.07] [-0.0, 1.02] [0.08, 0.92]
8 [0.01, 1.1] [0.0, 1.05] [0.09, 0.91]
9 [0.02, 1.13] [0.01, 1.08] [0.09, 0.9]
10 [0.04, 1.16] [0.02, 1.11] [0.09, 0.89]
11 [0.06, 1.19] [0.04, 1.14] [0.09, 0.88]
12 [0.09, 1.22] [0.06, 1.16] [0.09, 0.87]
13 [0.12, 1.25] [0.09, 1.18] [0.09, 0.86]
14 [0.15, 1.28] [0.12, 1.2] [0.09, 0.85]
15 [0.19, 1.3] [0.16, 1.22] [0.09, 0.84]
16 [0.23, 1.32] [0.2, 1.24] [0.09, 0.83]
17 [0.27, 1.34] [0.25, 1.26] [0.08, 0.82]
18 [0.31, 1.36] [0.3, 1.28] [0.07, 0.81]
19 [0.35, 1.38] [0.35, 1.3] [0.06, 0.8]
20 [0.39, 1.4] [0.4, 1.32] [0.05, 0.79]
21 [0.43, 1.42] [0.46, 1.34] [0.04, 0.79]
22 [0.47, 1.44] [0.52, 1.35] [0.03, 0.79]
23 [0.51, 1.46] [0.58, 1.36] [0.02, 0.79]
24 [0.55, 1.48] [0.64, 1.37] [0.01, 0.79]
25 [0.59, 1.5] [0.7, 1.38] [0.0, 0.79]
26 [0.63, 1.52] [0.76, 1.39] [0.0, 0.79]
27 [0.67, 1.54] [0.82, 1.4] [0.0, 0.79]
28 [0.71, 1.56] [0.88, 1.41] [0.0, 0.79]
29 [0.75, 1.58] [0.94, 1.42] [0.0, 0.79]
30 [0.79, 1.6] [1.01, 1.43] [0.0, 0.79]
31 [0.84, 1.62] [1.09, 1.44] [0.0, 0.79]
32 [0.89, 1.63] [1.19, 1.46] [0.0, 0.8]
33 [0.95, 1.64] [1.3, 1.48] [0.0, 0.81]
34 [1.02, 1.65] [1.43, 1.5] [0.0, 0.82]
35 [1.1, 1.67] [1.58, 1.52] [-0.0, 0.84]
36 [1.19, 1.69] [1.75, 1.55] [-0.0, 0.86]
37 [1.29, 1.71] [1.94, 1.58] [0.0, 0.88]
38 [1.41, 1.73] [2.15, 1.61] [0.01, 0.9]
39 [1.55, 1.75] [2.38, 1.65] [0.02, 0.93]
40 [1.71, 1.78] [2.63, 1.7] [0.04, 0.96]
41 [1.9, 1.81] [2.9, 1.76] [0.08, 1.0]
42 [2.14, 1.86] [3.18, 1.84] [0.14, 1.05]
43 [2.43, 1.93] [3.46, 1.94] [0.23, 1.12]
44 [2.79, 2.04] [3.74, 2.08] [0.38, 1.23]
45 [3.22, 2.2] [3.99, 2.28] [0.63, 1.38]
46 [3.72, 2.43] [4.18, 2.55] [1.0, 1.6]
47 [4.26, 2.76] [4.27, 2.86] [1.49, 1.87]
48 [4.79, 3.18] [4.28, 3.19] [2.06, 2.19]
49 [5.25, 3.69] [4.24, 3.54] [2.66, 2.56]
50 [5.59, 4.24] [4.2, 3.92] [3.23, 3.0]
51 [5.82, 4.76] [4.22, 4.34] [3.71, 3.51]
52 [5.97, 5.2] [4.33, 4.76] [4.08, 4.06]
53 [6.07, 5.59] [4.51, 5.17] [4.39, 4.61]
54 [6.15, 5.94] [4.73, 5.56] [4.68, 5.14]
55 [6.21, 6.26] [4.97, 5.94] [4.95, 5.64]
56 [6.26, 6.56] [5.22, 6.3] [5.21, 6.1]
57 [6.31, 6.85] [5.46, 6.64] [5.45, 6.51]
58 [6.35, 7.12] [5.69, 6.95] [5.67, 6.88]
59 [6.4, 7.36] [5.89, 7.23] [5.85, 7.2]
60 [6.45, 7.58] [6.06, 7.47] [6.01, 7.47]
61 [6.5, 7.78] [6.21, 7.69] [6.14, 7.7]
62 [6.55, 7.95] [6.33, 7.88] [6.25, 7.9]
63 [6.6, 8.11] [6.44, 8.04] [6.34, 8.07]
64 [6.65, 8.25] [6.54, 8.19] [6.43, 8.23]
65 [6.7, 8.38] [6.63, 8.33] [6.51, 8.37]
66 [6.75, 8.5] [6.71, 8.45] [6.58, 8.5]
67 [6.8, 8.61] [6.78, 8.57] [6.65, 8.62]
68 [6.85, 8.71] [6.85, 8.68] [6.72, 8.73]
69 [6.9, 8.81] [6.92, 8.79] [6.79, 8.84]
70 [6.94, 8.91] [6.99, 8.89] [6.85, 8.94]
71 [6.98, 9.0] [7.05, 8.99] [6.91, 9.04]
