0 [0.02, 0.96] [-0.0, 0.99] [0.0, 0.92]
1 [0.06, 0.91] [-0.0, 0.97] [0.02, 0.81]
2 [0.12, 0.85] [-0.0, 0.95] [0.09, 0.67]
3 [0.21, 0.77] [-0.0, 0.92] [0.24, 0.5]
4 [0.33, 0.68] [-0.0, 0.89] [0.5, 0.32]
5 [0.48, 0.57] [-0.0, 0.89] [0.85, 0.18]
6 [0.65, 0.43] [-0.0, 0.98] [1.21, 0.09]
7 [0.83, 0.26] [-0.0, 1.17] [1.56, 0.03]
8 [1.02, 0.05] [0.09, 1.38] [1.9, 0.03]
9 [1.21, 0.05] [0.26, 1.57] [2.23, 0.03]
10 [1.33, 0.05] [0.49, 1.74] [2.56, 0.03]
11 [1.37, 0.05] [0.76, 1.89] [2.88, 0.03]
12 [1.32, 0.05] [1.08, 2.03] [3.19, 0.03]
13 [1.18, 0.05] [1.43, 2.17] [3.49, 0.03]
14 [0.99, -0.0] [1.81, 2.32] [3.79, 0.03]
15 [0.78, 0.05] [2.21, 2.49] [4.07, 0.03]
16 [0.6, 0.21] [2.61, 2.68] [4.33, 0.03]
17 [0.52, 0.52] [2.95, 2.89] [4.53, 0.03]
18 [0.67, 0.92] [3.21, 3.09] [4.54, 0.03]
19 [1.01, 1.31] [3.44, 3.26] [4.26, 0.03]
20 [1.43, 1.67] [3.66, 3.41] [3.84, 0.19]
21 [1.85, 1.99] [3.86, 3.53] [3.77, 0.76]
22 [2.27, 2.27] [4.05, 3.64] [4.05, 1.27]
23 [2.71, 2.52] [4.23, 3.74] [4.39, 1.67]
24 [3.17, 2.76] [4.41, 3.85] [4.75, 2.01]
25 [3.65, 3.01] [4.61, 3.98] [5.14, 2.33]
26 [4.14, 3.31] [4.83, 4.15] [5.53, 2.68]
27 [4.64, 3.67] [5.08, 4.38] [5.91, 3.1]
28 [5.1, 4.1] [5.36, 4.66] [6.21, 3.59]
29 [5.51, 4.57] [5.66, 5.0] [6.43, 4.1]
30 [5.85, 5.06] [5.94, 5.38] [6.58, 4.61]
31 [6.12, 5.54] [6.17, 5.78] [6.67, 5.11]
32 [6.33, 5.99] [6.35, 6.17] [6.71, 5.59]
33 [6.47, 6.39] [6.47, 6.53] [6.72, 6.04]
34 [6.57, 6.74] [6.56, 6.85] [6.71, 6.44]
35 [6.63, 7.04] [6.62, 7.13] [6.69, 6.81]
36 [6.67, 7.3] [6.66, 7.37] [6.67, 7.13]
37 [6.69, 7.53] [6.7, 7.58] [6.66, 7.42]
38 [6.7, 7.73] [6.73, 7.76] [6.65, 7.67]
39 [6.71, 7.91] [6.76, 7.92] [6.66, 7.89]
40 [6.73, 8.07] [6.79, 8.07] [6.68, 8.08]
41 [6.75, 8.21] [6.82, 8.21] [6.7, 8.24]
42 [6.77, 8.34] [6.85, 8.33] [6.73, 8.38]
43 [6.8, 8.46] [6.88, 8.45] [6.77, 8.51]
44 [6.83, 8.57] [6.91, 8.56] [6.81, 8.62]
45 [6.86, 8.68] [6.94, 8.66] [6.85, 8.72]
46 [6.89, 8.78] [6.98, 8.76] [6.89, 8.81]
47 [6.92, 8.88] [7.01, 8.85] [6.93, 8.9]
48 [6.95, 8.97] [7.04, 8.94] [6.97, 8.98]
49 [6.99, 9.06] [7.07, 9.03] [7.01, 9.06]
