0 [0.11, 1.02] [-0.0, 0.91] [0.0, 0.98]
1 [0.22, 1.04] [-0.0, 0.79] [0.0, 0.94]
2 [0.34, 1.07] [-0.0, 0.64] [0.0, 0.89]
3 [0.46, 1.09] [-0.0, 0.47] [0.0, 0.83]
4 [0.6, 1.11] [-0.0, 0.38] [0.0, 0.76]
5 [0.77, 1.13] [-0.0, 0.52] [0.0, 0.68]
6 [0.97, 1.15] [-0.0, 0.79] [0.0, 0.6]
7 [1.2, 1.18] [0.14, 1.02] [0.0, 0.53]
8 [1.45, 1.21] [0.35, 1.17] [0.0, 0.53]
9 [1.73, 1.24] [0.58, 1.27] [0.0, 0.61]
10 [2.04, 1.28] [0.82, 1.36] [0.0, 0.74]
11 [2.39, 1.33] [1.07, 1.44] [0.0, 0.87]
12 [2.77, 1.4] [1.33, 1.51] [0.0, 0.99]
13 [3.2, 1.47] [1.61, 1.58] [0.0, 1.09]
14 [3.65, 1.55] [1.89, 1.64] [0.0, 1.17]
15 [4.07, 1.63] [2.16, 1.7] [0.0, 1.25]
16 [4.41, 1.71] [2.4, 1.76] [0.0, 1.34]
17 [4.69, 1.79] [2.63, 1.82] [0.0, 1.45]
18 [4.92, 1.87] [2.87, 1.88] [0.01, 1.58]
19 [5.12, 1.96] [3.12, 1.95] [0.05, 1.72]
20 [5.3, 2.05] [3.4, 2.04] [0.13, 1.88]
21 [5.46, 2.16] [3.7, 2.15] [0.26, 2.07]
22 [5.61, 2.29] [4.04, 2.29] [0.44, 2.29]
23 [5.75, 2.45] [4.41, 2.48] [0.69, 2.54]
24 [5.89, 2.67] [4.8, 2.74] [1.02, 2.84]
25 [6.01, 2.96] [5.16, 3.07] [1.45, 3.18]
26 [6.09, 3.34] [5.46, 3.48] [1.96, 3.54]
27 [6.14, 3.81] [5.68, 3.94] [2.54, 3.92]
28 [6.17, 4.37] [5.82, 4.42] [3.16, 4.31]
29 [6.23, 4.99] [5.92, 4.9] [3.79, 4.74]
30 [6.32, 5.63] [5.99, 5.37] [4.39, 5.21]
31 [6.44, 6.24] [6.05, 5.82] [4.93, 5.72]
32 [6.56, 6.77] [6.1, 6.26] [5.39, 6.26]
33 [6.66, 7.2] [6.16, 6.7] [5.77, 6.79]
34 [6.75, 7.54] [6.26, 7.14] [6.07, 7.26]
35 [6.82, 7.81] [6.38, 7.52] [6.29, 7.64]
36 [6.87, 8.03] [6.49, 7.83] [6.45, 7.92]
37 [6.9, 8.21] [6.59, 8.08] [6.57, 8.13]
38 [6.93, 8.37] [6.68, 8.28] [6.66, 8.31]
39 [6.96, 8.51] [6.76, 8.45] [6.74, 8.46]
40 [6.98, 8.63] [6.84, 8.59] [6.81, 8.59]
41 [7.0, 8.74] [6.92, 8.71] [6.88, 8.71]
42 [7.03, 8.84] [6.99, 8.82] [6.94, 8.82]
43 [7.06, 8.93] [7.06, 8.92] [7.0, 8.92]
44 [7.09, 9.02] [7.13, 9.01] [7.06, 9.02]
