0 [0.01, 0.99] [0.22, 1.09] [0.0, 1.03]
1 [0.01, 0.98] [0.36, 1.17] [0.0, 1.05]
2 [0.01, 0.97] [0.46, 1.24] [0.0, 1.06]
3 [0.01, 0.96] [0.53, 1.31] [0.0, 1.06]
4 [0.01, 0.95] [0.58, 1.37] [0.0, 1.05]
5 [0.01, 0.95] [0.62, 1.43] [0.0, 1.03]
6 [0.01, 0.95] [0.64, 1.48] [0.0, 1.0]
7 [0.01, 0.95] [0.66, 1.53] [0.0, 0.95]
8 [0.01, 0.95] [0.67, 1.57] [0.0, 0.89]
9 [0.01, 0.95] [0.67, 1.6] [0.0, 0.81]
10 [0.01, 0.95] [0.66, 1.63] [0.0, 0.72]
11 [0.01, 0.95] [0.65, 1.65] [0.0, 0.61]
12 [0.01, 0.95] [0.64, 1.67] [-0.0, 0.49]
13 [0.01, 0.95] [0.62, 1.68] [0.02, 0.35]
14 [0.01, 0.95] [0.6, 1.68] [0.07, 0.19]
15 [0.01, 0.95] [0.59, 1.68] [0.15, 0.02]
16 [0.01, 0.95] [0.58, 1.67] [0.26, 0.02]
17 [0.01, 0.95] [0.57, 1.66] [0.37, 0.02]
18 [0.01, 0.95] [0.56, 1.65] [0.48, 0.02]
19 [0.01, 0.95] [0.55, 1.64] [0.58, 0.02]
20 [0.01, 0.95] [0.54, 1.63] [0.68, 0.02]
21 [0.01, 0.95] [0.53, 1.62] [0.78, 0.02]
22 [0.01, 0.95] [0.52, 1.61] [0.88, 0.02]
23 [0.01, 0.95] [0.51, 1.6] [0.98, 0.02]
24 [0.01, 0.95] [0.5, 1.59] [1.08, 0.02]
25 [0.01, 0.95] [0.49, 1.58] [1.18, 0.02]
26 [0.01, 0.95] [0.48, 1.57] [1.28, 0.02]
27 [0.01, 0.95] [0.47, 1.56] [1.38, 0.02]
28 [0.01, 0.95] [0.46, 1.55] [1.48, 0.02]
29 [0.01, 0.95] [0.45, 1.54] [1.59, 0.02]
30 [0.01, 0.95] [0.44, 1.53] [1.71, 0.02]
31 [0.01, 0.96] [0.43, 1.52] [1.83, 0.02]
32 [0.01, 0.97] [0.42, 1.51] [1.96, 0.02]
33 [0.01, 0.98] [0.41, 1.5] [2.1, 0.02]
34 [0.01, 0.99] [0.4, 1.49] [2.25, 0.02]
35 [0.01, 1.0] [0.38, 1.48] [2.41, 0.02]
36 [0.02, 1.01] [0.36, 1.46] [2.58, 0.02]
37 [0.03, 1.02] [0.34, 1.44] [2.76, 0.02]
38 [0.04, 1.03] [0.32, 1.42] [2.96, 0.02]
39 [0.06, 1.05] [0.3, 1.4] [3.17, 0.02]
40 [0.08, 1.07] [0.27, 1.37] [3.4, 0.02]
41 [0.11, 1.09] [0.24, 1.34] [3.65, 0.02]
42 [0.14, 1.11] [0.22, 1.3] [3.96, 0.02]
43 [0.17, 1.13] [0.21, 1.26] [4.35, 0.02]
44 [0.2, 1.14] [0.21, 1.22] [4.84, 0.02]
45 [0.23, 1.15] [0.22, 1.19] [5.45, 0.02]
46 [0.26, 1.16] [0.24, 1.17] [6.19, 0.02]
47 [0.28, 1.17] [0.26, 1.16] [7.06, 0.02]
48 [0.3, 1.17] [0.27, 1.16] [8.02, 0.02]
49 [0.32, 1.17] [0.28, 1.16] [9.0, 0.02]
50 [0.34, 1.17] [0.29, 1.16] [9.99, 0.02]
51 [0.36, 1.17] [0.3, 1.16] [9.99, 0.02]
52 [0.38, 1.17] [0.31, 1.16] [9.99, 0.02]
53 [0.4, 1.17] [0.32, 1.16] [9.99, 0.02]
