0 [0.18, 1.04] [0.0, 1.06] [0.0, 0.96]
1 [0.31, 1.07] [0.0, 1.12] [0.0, 0.94]
2 [0.41, 1.09] [0.0, 1.18] [0.0, 0.99]
3 [0.51, 1.1] [0.0, 1.24] [0.04, 1.04]
4 [0.6, 1.11] [0.0, 1.28] [0.09, 1.06]
5 [0.68, 1.12] [0.0, 1.3] [0.14, 1.07]
6 [0.75, 1.12] [0.0, 1.31] [0.18, 1.08]
7 [0.82, 1.12] [0.0, 1.32] [0.23, 1.09]
8 [0.9, 1.12] [0.0, 1.34] [0.28, 1.1]
9 [0.99, 1.13] [0.0, 1.39] [0.34, 1.11]
10 [1.1, 1.14] [0.0, 1.46] [0.41, 1.13]
11 [1.21, 1.15] [0.03, 1.53] [0.48, 1.15]
12 [1.33, 1.16] [0.08, 1.59] [0.56, 1.18]
13 [1.45, 1.17] [0.14, 1.64] [0.64, 1.22]
14 [1.57, 1.18] [0.21, 1.69] [0.73, 1.26]
15 [1.69, 1.19] [0.29, 1.74] [0.82, 1.3]
16 [1.82, 1.2] [0.38, 1.8] [0.92, 1.35]
17 [1.95, 1.21] [0.48, 1.87] [1.03, 1.4]
18 [2.09, 1.22] [0.58, 1.97] [1.15, 1.46]
19 [2.24, 1.23] [0.68, 2.1] [1.28, 1.54]
20 [2.41, 1.24] [0.77, 2.26] [1.42, 1.63]
21 [2.59, 1.26] [0.87, 2.43] [1.55, 1.73]
22 [2.78, 1.28] [0.97, 2.61] [1.67, 1.84]
23 [2.97, 1.3] [1.07, 2.79] [1.79, 1.96]
24 [3.17, 1.32] [1.16, 2.98] [1.9, 2.1]
25 [3.38, 1.35] [1.25, 3.18] [2.01, 2.25]
26 [3.6, 1.39] [1.32, 3.38] [2.12, 2.42]
27 [3.83, 1.44] [1.38, 3.57] [2.24, 2.61]
28 [4.06, 1.52] [1.42, 3.76] [2.37, 2.82]
29 [4.28, 1.63] [1.45, 3.95] [2.5, 3.05]
30 [4.49, 1.76] [1.48, 4.14] [2.64, 3.3]
31 [4.69, 1.91] [1.51, 4.33] [2.79, 3.56]
32 [4.88, 2.08] [1.55, 4.52] [2.95, 3.83]
33 [5.04, 2.27] [1.6, 4.71] [3.13, 4.13]
34 [5.18, 2.48] [1.66, 4.91] [3.34, 4.45]
35 [5.3, 2.71] [1.73, 5.11] [3.57, 4.8]
36 [5.38, 2.97] [1.81, 5.31] [3.83, 5.17]
37 [5.43, 3.26] [1.89, 5.49] [4.1, 5.54]
38 [5.44, 3.6] [1.97, 5.64] [4.38, 5.9]
39 [5.38, 3.99] [2.05, 5.76] [4.65, 6.25]
40 [5.26, 4.45] [2.13, 5.86] [4.92, 6.58]
41 [5.18, 4.99] [2.23, 5.96] [5.2, 6.86]
42 [5.19, 5.6] [2.36, 6.05] [5.47, 7.12]
43 [5.28, 6.22] [2.51, 6.13] [5.69, 7.36]
44 [5.47, 6.77] [2.68, 6.19] [5.85, 7.55]
45 [5.62, 7.24] [2.86, 6.23] [5.97, 7.72]
46 [5.8, 7.58] [3.03, 6.26] [6.06, 7.85]
47 [5.96, 7.83] [3.25, 6.29] [6.14, 7.96]
48 [6.1, 8.0] [3.56, 6.33] [6.21, 8.04]
49 [6.2, 8.09] [4.04, 6.39] [6.29, 8.11]
50 [6.26, 8.13] [4.72, 6.49] [6.38, 8.19]
51 [6.32, 8.17] [5.55, 6.67] [6.48, 8.3]
52 [6.35, 8.18] [6.37, 6.91] [6.54, 8.34]
53 [6.37, 8.2] [6.3, 7.59] [6.58, 8.4]
54 [6.43, 8.26] [6.57, 7.92] [6.65, 8.48]
55 [6.5, 8.37] [6.53, 8.25] [6.71, 8.58]
56 [6.61, 8.49] [6.67, 8.43] [6.78, 8.66]
57 [6.7, 8.62] [6.71, 8.61] [6.84, 8.74]
58 [6.79, 8.73] [6.77, 8.75] [6.89, 8.81]
59 [6.87, 8.82] [6.83, 8.88] [6.93, 8.87]
60 [6.94, 8.9] [6.88, 9.0] [6.97, 8.93]
61 [7.0, 8.97] [6.94, 9.12] [7.01, 8.98]
