0 [0.96, 1.08] [0.97, 1.05] [0.04, 1.01]
1 [1.93, 1.1] [1.95, 1.06] [0.05, 1.01]
2 [2.14, 1.11] [2.94, 1.13] [0.03, 1.02]
3 [2.18, 1.12] [3.93, 1.24] [0.02, 1.01]
4 [2.2, 1.13] [4.89, 1.38] [0.02, 0.99]
5 [2.21, 1.15] [5.8, 1.57] [0.02, 0.97]
6 [2.22, 1.17] [6.65, 1.82] [0.02, 0.93]
7 [2.22, 1.19] [7.12, 2.37] [0.14, 0.71]
8 [2.22, 1.23] [7.27, 2.79] [0.43, 0.51]
9 [2.2, 1.26] [7.19, 3.09] [0.87, 0.27]
10 [2.2, 1.25] [7.16, 2.87] [1.69, 0.27]
11 [2.2, 1.25] [7.19, 2.87] [2.36, 0.27]
12 [2.21, 1.25] [7.22, 2.87] [2.6, 0.27]
13 [2.22, 1.25] [7.26, 2.86] [2.87, 0.27]
14 [2.24, 1.25] [7.31, 2.85] [3.04, 0.27]
15 [2.26, 1.25] [7.37, 2.83] [3.13, 0.27]
16 [2.28, 1.25] [7.44, 2.81] [3.17, 0.27]
17 [2.3, 1.25] [7.51, 2.78] [3.18, 0.27]
18 [2.32, 1.25] [7.57, 2.75] [3.18, 0.27]
19 [2.34, 1.25] [7.63, 2.71] [3.17, 0.27]
20 [2.36, 1.25] [7.69, 2.67] [3.17, 0.27]
