0 [0.42, 0.5] [0.06, 0.9] [0.0, 1.13]
1 [1.35, 0.47] [0.07, 0.9] [0.0, 1.13]
2 [1.29, 0.28] [0.3, 0.82] [0.0, 1.34]
3 [1.21, 0.08] [0.48, 0.68] [-0.0, 1.56]
4 [1.83, 0.08] [0.5, 0.67] [-0.0, 1.56]
5 [2.43, 0.08] [0.52, 0.67] [-0.0, 1.56]
6 [3.22, 0.06] [0.52, 0.67] [-0.0, 1.56]
7 [4.12, 0.06] [0.52, 0.67] [0.0, 1.56]
8 [5.07, 0.06] [0.52, 0.67] [0.0, 1.56]
9 [6.02, 0.06] [0.52, 0.67] [0.0, 1.56]
10 [6.96, 0.06] [0.52, 0.67] [0.0, 1.56]
11 [7.89, 0.06] [0.52, 0.67] [0.0, 1.56]
12 [8.79, 0.05] [0.52, 0.67] [0.0, 1.56]
13 [9.65, 0.04] [0.52, 0.67] [0.0, 1.56]
14 [9.65, 0.02] [0.53, 0.67] [0.0, 1.56]
15 [9.65, -0.0] [0.54, 0.67] [0.0, 1.56]
16 [9.65, -0.0] [0.55, 0.67] [0.0, 1.56]
17 [9.65, -0.0] [0.56, 0.67] [0.0, 1.55]
18 [9.65, -0.0] [0.57, 0.67] [0.0, 1.54]
19 [9.65, -0.0] [0.58, 0.67] [0.0, 1.53]
20 [9.65, -0.0] [0.59, 0.67] [0.0, 1.52]
21 [9.65, -0.0] [0.6, 0.67] [0.0, 1.51]
22 [9.65, -0.0] [0.61, 0.67] [0.0, 1.5]
23 [9.65, -0.0] [0.62, 0.67] [0.01, 1.48]
24 [9.65, -0.0] [0.64, 0.67] [0.02, 1.46]
25 [9.65, -0.0] [0.66, 0.67] [0.03, 1.44]
26 [9.65, -0.0] [0.68, 0.67] [0.04, 1.41]
27 [9.65, -0.0] [0.71, 0.67] [0.05, 1.38]
28 [9.65, -0.0] [0.74, 0.67] [0.07, 1.34]
29 [9.65, -0.0] [0.77, 0.67] [0.09, 1.3]
30 [9.65, -0.0] [0.81, 0.67] [0.12, 1.26]
31 [9.65, -0.0] [0.85, 0.66] [0.15, 1.22]
32 [9.65, -0.0] [0.88, 0.66] [0.18, 1.18]
33 [9.65, -0.0] [0.91, 0.66] [0.21, 1.15]
34 [9.65, -0.0] [0.94, 0.66] [0.24, 1.12]
35 [9.65, -0.0] [0.97, 0.66] [0.28, 1.09]
36 [9.65, -0.0] [1.01, 0.66] [0.32, 1.05]
37 [9.65, -0.0] [1.05, 0.65] [0.36, 1.01]
