0 [1.0, 1.0] [1.0, 1.0] [1.0, 1.0]
1 [2.0, 1.0] [2.0, 1.0] [2.0, 1.0]
2 [3.0, 1.0] [3.0, 1.0] [3.0, 1.0]
3 [4.0, 1.0] [4.0, 1.0] [4.0, 1.0]
4 [5.0, 1.0] [5.0, 1.0] [5.0, 1.0]
5 [6.0, 1.0] [6.0, 1.0] [6.0, 1.0]
6 [6.0, 2.0] [6.0, 2.0] [6.0, 2.0]
7 [6.0, 3.0] [6.0, 3.0] [6.0, 3.0]
8 [6.0, 4.0] [6.0, 3.0] [6.0, 3.0]
9 [6.0, 5.0] [6.0, 4.0] [6.0, 4.0]
10 [6.0, 6.0] [6.0, 5.0] [6.0, 5.0]
11 [6.0, 7.0] [6.0, 6.0] [6.0, 6.0]
12 [6.0, 8.0] [6.0, 7.0] [6.0, 7.0]
13 [6.0, 9.0] [6.0, 8.0] [6.0, 8.0]
14 [6.0, 9.0] [6.0, 9.0] [6.0, 9.0]
15 [6.0, 9.0] [6.0, 9.0] [6.0, 9.0]
16 [6.0, 9.0] [6.0, 9.0] [6.0, 9.0]
17 [6.0, 9.0] [7.0, 9.0] [6.0, 9.0]
18 [6.0, 9.0] [7.0, 9.0] [6.0, 9.0]
19 [6.0, 9.0] [7.0, 9.0] [6.0, 9.0]
20 [6.0, 9.0] [7.0, 9.0] [6.0, 9.0]
21 [6.0, 9.0] [7.0, 9.0] [6.0, 9.0]
22 [6.0, 9.0] [7.0, 9.0] [6.0, 9.0]
