0 [0.99, 0.88] [0.99, 1.02] [0.98, 1.03]
1 [1.97, 0.79] [1.97, 1.07] [1.97, 1.11]
2 [2.89, 1.04] [2.94, 1.11] [2.95, 1.17]
3 [3.85, 1.16] [3.92, 1.14] [3.92, 1.22]
4 [4.8, 1.24] [4.89, 1.26] [4.89, 1.3]
5 [5.72, 1.41] [5.83, 1.45] [5.81, 1.51]
6 [6.38, 2.02] [6.62, 1.68] [6.36, 2.22]
7 [6.45, 2.92] [7.03, 2.34] [6.57, 3.07]
8 [6.52, 3.78] [7.2, 3.06] [6.59, 3.7]
9 [6.58, 4.7] [7.06, 3.79] [6.63, 4.53]
10 [6.62, 5.69] [6.93, 4.77] [6.67, 5.51]
11 [6.7, 6.68] [6.87, 5.77] [6.69, 6.5]
12 [6.81, 7.65] [6.77, 6.76] [6.71, 7.45]
13 [6.92, 8.44] [6.72, 7.73] [6.73, 8.26]
14 [6.95, 8.86] [6.89, 8.62] [6.93, 8.85]
15 [6.99, 9.0] [6.99, 8.99] [6.99, 9.01]
