0 [0.93, 1.0] [0.99, 1.0] [0.93, 1.0]
1 [1.83, 1.01] [1.98, 1.0] [1.9, 1.0]
2 [2.8, 1.07] [2.97, 1.01] [2.88, 1.02]
3 [3.71, 1.31] [3.96, 1.02] [3.86, 1.07]
4 [4.37, 1.86] [4.95, 1.04] [4.83, 1.18]
5 [4.95, 2.55] [5.93, 1.08] [5.73, 1.41]
6 [4.99, 3.32] [6.69, 1.31] [5.98, 2.06]
7 [4.98, 3.83] [6.69, 1.96] [6.02, 2.59]
8 [5.27, 4.67] [6.72, 2.71] [6.29, 3.25]
9 [5.83, 5.49] [6.9, 3.51] [6.54, 4.16]
10 [6.07, 6.45] [6.98, 4.49] [6.53, 5.15]
11 [6.43, 7.35] [6.99, 5.48] [6.59, 6.13]
12 [6.66, 8.18] [7.0, 6.47] [6.63, 7.1]
13 [6.81, 8.61] [7.0, 7.46] [6.78, 8.02]
14 [6.92, 8.84] [6.96, 8.42] [6.94, 8.76]
15 [6.97, 8.95] [7.0, 8.93] [6.98, 8.95]
16 [7.01, 9.02] [7.01, 9.0] [7.01, 9.02]
