0 [0.94, 1.0] [0.99, 1.0] [0.63, 1.0]
1 [1.79, 1.02] [1.98, 1.0] [1.46, 1.01]
2 [2.75, 1.12] [2.97, 1.01] [2.38, 1.03]
3 [3.63, 1.44] [3.96, 1.02] [3.29, 1.08]
4 [4.09, 2.16] [4.95, 1.04] [4.18, 1.23]
5 [4.46, 2.88] [5.94, 1.07] [5.05, 1.45]
6 [4.68, 3.38] [6.81, 1.19] [5.47, 2.09]
7 [4.75, 3.65] [6.97, 1.81] [5.61, 2.68]
8 [5.06, 4.34] [6.84, 2.55] [5.97, 3.27]
9 [5.6, 5.15] [6.9, 3.32] [6.39, 4.02]
10 [5.85, 6.11] [6.9, 4.3] [6.5, 5.01]
11 [6.26, 7.01] [6.8, 5.29] [6.58, 5.99]
12 [6.63, 7.91] [6.7, 6.28] [6.66, 6.97]
13 [6.88, 8.59] [6.73, 7.28] [6.79, 7.91]
14 [6.92, 8.85] [6.9, 8.25] [6.92, 8.7]
15 [6.95, 8.97] [7.0, 9.01] [6.99, 8.97]
