0 [0.95, 0.78] [0.97, 1.02] [0.96, 1.03]
1 [1.88, 0.53] [1.94, 1.07] [1.94, 1.12]
2 [2.79, 0.76] [2.92, 1.11] [2.9, 1.2]
3 [3.74, 0.94] [3.91, 1.14] [3.88, 1.27]
4 [4.7, 1.09] [4.9, 1.26] [4.86, 1.37]
5 [5.63, 1.34] [5.87, 1.45] [5.82, 1.61]
6 [6.33, 1.95] [6.73, 1.7] [6.3, 2.41]
7 [6.55, 2.82] [7.23, 2.28] [6.41, 3.13]
8 [6.82, 3.68] [7.54, 3.04] [6.38, 3.58]
9 [6.96, 4.63] [7.27, 3.82] [6.22, 4.36]
10 [7.03, 5.62] [6.95, 4.76] [6.09, 5.34]
11 [7.07, 6.62] [6.72, 5.73] [6.02, 6.33]
12 [7.16, 7.61] [6.52, 6.71] [6.12, 7.31]
13 [7.08, 8.5] [6.51, 7.7] [6.52, 8.15]
14 [6.97, 8.88] [6.86, 8.59] [6.94, 8.79]
15 [7.0, 8.99] [7.0, 9.0] [7.01, 9.0]
