0 [0.94, 1.0] [0.99, 1.0] [0.63, 1.0]
1 [1.79, 1.02] [1.98, 1.0] [1.46, 1.01]
2 [2.75, 1.12] [2.97, 1.01] [2.38, 1.03]
3 [3.63, 1.43] [3.96, 1.02] [3.28, 1.08]
4 [4.09, 2.15] [4.95, 1.04] [4.17, 1.23]
5 [4.46, 2.87] [5.94, 1.07] [5.04, 1.45]
6 [4.68, 3.37] [6.81, 1.19] [5.46, 2.09]
7 [4.75, 3.64] [6.97, 1.8] [5.61, 2.68]
8 [5.05, 4.34] [6.83, 2.55] [5.96, 3.28]
9 [5.58, 5.15] [6.89, 3.34] [6.38, 4.04]
10 [5.82, 6.12] [6.88, 4.33] [6.48, 5.03]
11 [6.22, 7.02] [6.78, 5.32] [6.56, 6.01]
12 [6.61, 7.91] [6.69, 6.31] [6.65, 6.99]
13 [6.87, 8.59] [6.73, 7.31] [6.79, 7.93]
14 [6.91, 8.85] [6.9, 8.28] [6.93, 8.71]
15 [6.94, 8.97] [6.99, 9.01] [6.99, 8.97]
