0 [0.94, 1.0] [0.99, 1.0] [0.64, 1.0]
1 [1.79, 1.02] [1.98, 1.0] [1.46, 1.01]
2 [2.75, 1.13] [2.97, 1.01] [2.37, 1.03]
3 [3.64, 1.42] [3.96, 1.02] [3.27, 1.08]
4 [4.1, 2.15] [4.95, 1.04] [4.16, 1.22]
5 [4.47, 2.87] [5.93, 1.07] [5.04, 1.43]
6 [4.68, 3.38] [6.8, 1.19] [5.44, 2.08]
7 [4.76, 3.65] [6.97, 1.81] [5.6, 2.66]
8 [5.13, 4.3] [6.88, 2.47] [6.0, 3.2]
9 [5.61, 5.15] [6.92, 3.27] [6.39, 3.97]
10 [5.85, 6.11] [6.92, 4.26] [6.49, 4.96]
11 [6.25, 7.02] [6.82, 5.25] [6.57, 5.94]
12 [6.6, 7.93] [6.72, 6.24] [6.64, 6.92]
13 [6.88, 8.61] [6.76, 7.24] [6.8, 7.87]
14 [6.96, 8.92] [6.91, 8.22] [6.94, 8.71]
