0 [0.95, 0.78] [0.97, 1.02] [0.97, 1.03]
1 [1.87, 0.48] [1.94, 1.07] [1.96, 1.12]
2 [2.79, 0.71] [2.92, 1.11] [2.93, 1.2]
3 [3.74, 0.9] [3.91, 1.14] [3.91, 1.28]
4 [4.69, 1.07] [4.9, 1.23] [4.89, 1.38]
5 [5.61, 1.34] [5.87, 1.4] [5.84, 1.63]
6 [6.33, 1.92] [6.73, 1.65] [6.33, 2.42]
7 [6.51, 2.81] [7.23, 2.27] [6.41, 3.15]
8 [6.71, 3.72] [7.51, 3.13] [6.34, 3.7]
9 [6.82, 4.7] [7.2, 4.0] [6.14, 4.58]
10 [6.86, 5.7] [6.91, 4.96] [6.0, 5.56]
11 [6.9, 6.7] [6.7, 5.94] [5.94, 6.55]
12 [7.02, 7.68] [6.54, 6.93] [6.1, 7.52]
13 [6.99, 8.57] [6.6, 7.92] [6.61, 8.3]
14 [6.95, 8.94] [6.98, 8.77] [7.01, 8.92]
15 [6.98, 9.02] [7.05, 9.0] [7.04, 9.06]
16 [7.0, 9.08] [7.08, 9.1] [7.06, 9.15]
