0 [0.95, 0.78] [0.97, 1.02] [0.97, 1.03]
1 [1.86, 0.47] [1.94, 1.07] [1.95, 1.12]
2 [2.78, 0.7] [2.92, 1.11] [2.91, 1.2]
3 [3.73, 0.89] [3.91, 1.14] [3.89, 1.27]
4 [4.69, 1.05] [4.9, 1.24] [4.87, 1.37]
5 [5.62, 1.32] [5.87, 1.44] [5.82, 1.62]
6 [6.32, 1.93] [6.73, 1.7] [6.28, 2.43]
7 [6.54, 2.8] [7.22, 2.28] [6.39, 3.14]
8 [6.84, 3.64] [7.5, 2.95] [6.37, 3.53]
9 [6.95, 4.61] [7.24, 3.8] [6.19, 4.34]
10 [7.01, 5.6] [6.93, 4.75] [6.06, 5.32]
11 [7.04, 6.6] [6.72, 5.73] [5.99, 6.31]
12 [7.11, 7.59] [6.55, 6.71] [6.07, 7.3]
13 [7.1, 8.48] [6.55, 7.7] [6.52, 8.12]
14 [7.0, 8.97] [6.87, 8.61] [6.93, 8.82]
15 [7.03, 9.08] [7.05, 9.12] [7.01, 9.07]
