0 [0.94, 1.0] [0.99, 1.0] [0.62, 1.0]
1 [1.8, 1.02] [1.98, 1.0] [1.45, 1.01]
2 [2.76, 1.12] [2.97, 1.01] [2.37, 1.03]
3 [3.64, 1.43] [3.96, 1.02] [3.28, 1.08]
4 [4.1, 2.16] [4.95, 1.04] [4.17, 1.23]
5 [4.46, 2.88] [5.94, 1.07] [5.05, 1.45]
6 [4.68, 3.38] [6.81, 1.19] [5.47, 2.09]
7 [4.75, 3.65] [6.97, 1.81] [5.61, 2.68]
8 [5.06, 4.34] [6.84, 2.55] [5.97, 3.27]
9 [5.6, 5.15] [6.9, 3.32] [6.39, 4.02]
10 [5.85, 6.11] [6.9, 4.3] [6.49, 5.01]
11 [6.25, 7.01] [6.8, 5.29] [6.57, 5.99]
12 [6.62, 7.91] [6.7, 6.28] [6.65, 6.97]
13 [6.88, 8.59] [6.73, 7.28] [6.79, 7.91]
14 [6.92, 8.85] [6.9, 8.25] [6.93, 8.7]
15 [6.95, 8.96] [7.0, 9.0] [7.0, 8.97]
