0 [0.95, 0.78] [0.97, 1.02] [0.97, 1.03]
1 [1.87, 0.49] [1.94, 1.07] [1.95, 1.12]
2 [2.79, 0.72] [2.92, 1.11] [2.91, 1.2]
3 [3.74, 0.91] [3.91, 1.14] [3.89, 1.27]
4 [4.7, 1.07] [4.9, 1.25] [4.87, 1.37]
5 [5.63, 1.33] [5.87, 1.44] [5.82, 1.62]
6 [6.33, 1.94] [6.73, 1.7] [6.29, 2.43]
7 [6.55, 2.81] [7.23, 2.28] [6.4, 3.14]
8 [6.84, 3.66] [7.52, 2.99] [6.37, 3.56]
9 [6.96, 4.62] [7.25, 3.82] [6.2, 4.36]
10 [7.02, 5.61] [6.94, 4.77] [6.07, 5.34]
11 [7.06, 6.61] [6.72, 5.75] [6.0, 6.33]
12 [7.14, 7.6] [6.54, 6.73] [6.09, 7.31]
13 [7.09, 8.49] [6.54, 7.72] [6.52, 8.14]
14 [6.99, 8.93] [6.87, 8.62] [6.94, 8.81]
15 [7.02, 9.04] [7.03, 9.07] [7.01, 9.04]
